Wilayah,BAP_Tilang,Stop_operasi,BAP_polisi,Penderekan,OCP_roda_dua,OCP_roda_empat,Angkut_motor,Bulan,Count,OCP2_Total,Column1
Bidang Dalops,44,139,0,73,0,0,0,Januari,831,27,
Sudinhub Jakarta Pusat,47,2,52,184,237,15,97,Januari,,2347,
Sudinhub Jakarta Utara,166,27,0,174,0,0,0,Januari,,3,
Sudinhub Jakarta Selatan,44,1,0,61,42,75,0,Januari,,1841,
Sudinhub Jakarta Barat,184,70,0,202,10,5,0,Januari,,104,
Sudinhub Jakarta Timur,191,141,0,137,0,0,0,Januari,,22,
Bidang Dalops,37,143,0,95,2,1,0,Februari,1224,,
Sudinhub Jakarta Pusat,48,7,42,175,396,21,143,Februari,,,
Sudinhub Jakarta Utara,251,27,31,255,3,0,0,Februari,,,
Sudinhub Jakarta Selatan,129,12,0,155,446,110,0,Februari,,,
Sudinhub Jakarta Barat,229,60,0,245,12,4,0,Februari,,,
Sudinhub Jakarta Timur,276,146,0,299,0,0,0,Februari,,,
Bidang Dalops,90,203,0,150,18,2,0,Maret,1515,,
Sudinhub Jakarta Pusat,68,10,0,146,216,1,58,Maret,,,
Sudinhub Jakarta Utara,323,37,0,285,0,0,0,Maret,,,
Sudinhub Jakarta Selatan,479,51,0,325,221,87,0,Maret,,,
Sudinhub Jakarta Barat,270,101,0,318,20,11,0,Maret,,,
Sudinhub Jakarta Timur,253,129,0,291,22,0,0,Maret,,,
Bidang Dalops,78,108,0,139,0,2,0,April,1247,,
Sudinhub Jakarta Pusat,93,21,0,166,99,5,117,April,,,
Sudinhub Jakarta Utara,293,22,12,165,0,0,0,April,,,
Sudinhub Jakarta Selatan,454,42,0,261,423,64,0,April,,,
Sudinhub Jakarta Barat,233,97,0,252,0,1,0,April,,,
Sudinhub Jakarta Timur,274,113,0,264,0,0,0,April,,,
Bidang Dalops,47,88,0,57,0,0,0,Mei,685,,
Sudinhub Jakarta Pusat,30,10,0,46,447,72,244,Mei,,,
Sudinhub Jakarta Utara,174,10,16,149,0,0,0,Mei,,,
Sudinhub Jakarta Selatan,203,29,2,169,272,28,0,Mei,,,
Sudinhub Jakarta Barat,156,82,0,107,0,0,0,Mei,,,
Sudinhub Jakarta Timur,162,107,0,157,0,0,0,Mei,,,
Bidang Dalops,113,129,0,119,7,2,0,Juni,963,,
Sudinhub Jakarta Pusat,24,9,0,90,806,8,414,Juni,,,
Sudinhub Jakarta Utara,365,29,39,206,0,0,0,Juni,,,
Sudinhub Jakarta Selatan,390,22,16,188,277,51,0,Juni,,,
Sudinhub Jakarta Barat,176,81,0,157,62,6,0,Juni,,,
Sudinhub Jakarta Timur,217,116,0,203,0,0,0,Juni,,,
Bidang Dalops,72,80,0,38,0,0,0,Juli,267,,
Sudinhub Jakarta Pusat,12,6,0,11,146,3,0,Juli,,,
Sudinhub Jakarta Utara,224,20,24,54,0,0,19,Juli,,,
Sudinhub Jakarta Selatan,95,2,8,25,160,6,0,Juli,,,
Sudinhub Jakarta Barat,36,32,0,29,0,0,0,Juli,,,
Sudinhub Jakarta Timur,104,72,0,110,0,0,0,Juli,,,
